order;id;class;kicker;heading;word_count;snippet
12;b119WhyOberschwaben;b119-fachblock b119-fachblock--compact;Fokusraum;Warum Oberschwaben?;56;Fokusraum Warum Oberschwaben? Oberschwaben ist für Baden-Württemberg ein zentraler Fokusraum, weil sich hier Moor- und Feuchtbodenkontexte, landwirtschaftliche Nutzung und Fragen künftiger Wertschöpfung besonders deutlic
13;oberschwaben-layer-story;moore-ob-section b170-oberschwaben-detail;Regionale Planung;Jetzt kommt die Nutzung dazu;203;Regionale Planung Jetzt kommt die Nutzung dazu Der vorherige Zoom endet beim regionalen Moor-/Feuchtbodenkontext. Die nächste Karte legt die heutige landwirtschaftliche Nutzung darüber und zeigt, wo aus Kulisse eine konk
14;oberschwaben-felt-pilot;b149-felt-pilot b152-felt-integration;Interaktive Vertiefung;Erst die Lage. Dann die Details.;90;Interaktive Vertiefung Erst die Lage. Dann die Details. Die statische Karte ordnet ein. Die interaktive Version vertieft: Sie zeigt dieselbe Schnittmenge als scharfe Vektorkarte mit Landkreisorientierung. Interaktive Ver
15;oberschwaben-key-figures;section moore-ob-keyfigures;Flächenbilanz;Die Schnittmenge zeigt die Größenordnung;126;Flächenbilanz Die Schnittmenge zeigt die Größenordnung Die Verschneidung zeigt, dass die Überschneidung von landwirtschaftlicher Nutzung und Moor-/Feuchtbodenkontext auch in der Bilanz relevant wird. ~19.900 ha landwirts
16;pathways;section moore-pathways-section;Transformationspfade;Aus der Schnittmenge folgt Verhandlung;229;Transformationspfade Aus der Schnittmenge folgt Verhandlung Die Oberschwaben-Karte zeigt nicht, was auf einer einzelnen Fläche getan werden muss. Sie zeigt, wo unterschiedliche Transformationspfade verhandelt werden müss
17;wertschoepfung;section section-dark b130-engpass-climax b130-option-a b162c-scorecard-polish;Schematische Einordnung;Bis zur Ernte ist vieles anschlussfähig. Danach wird es eng.;231;Schematische Einordnung Bis zur Ernte ist vieles anschlussfähig. Danach wird es eng. Die Grafik verdichtet die zentrale Engstelle: Auf dem Feld und bis zur Ernte gibt es erprobte Ansätze. Dahinter entscheiden Logistik, V
18;value-chain-matrix;section moore-value-section;Nutzung und Wertschöpfung;Nutzung entscheidet, welche Wertschöpfung plausibel wird;294;Nutzung und Wertschöpfung Nutzung entscheidet, welche Wertschöpfung plausibel wird Transformationspfade entstehen nicht allein aus dem Bodenkontext. Entscheidend ist, welche heutige Nutzung betroffen ist, welche Wasserst
19;;b139-water-governance;Wasser und Governance;Wasser folgt Einzugsgebieten, nicht Eigentumsgrenzen;104;Wasser und Governance Wasser folgt Einzugsgebieten, nicht Eigentumsgrenzen Wiedervernässung wird nicht allein auf der einzelnen Fläche entschieden. Der Wasserstand verbindet Parzellen, Betriebe, Gräben, Vorfluter und Nac
20;;b137-consequence-kicker;Konsequenz;Der Hebel verschiebt sich von der Fläche zur Kette;91;Konsequenz Der Hebel verschiebt sich von der Fläche zur Kette Wiedervernässung bleibt der ökologische Kern. Für die Praxis reicht die Flächenperspektive aber nicht aus: Entscheidend wird, ob Wasser, Nutzung, Verarbeitung
21;quellen-methodik;b125-source-register b125-source-register--compact;;Grundlagen;579;Quellen, Methodik und Nutzungsrechte Datenbasis, fachliche Grundlagen und Rechtehinweise Details öffnen Die Seite ist eine räumliche Orientierung. Sie kombiniert öffentliche und projektbezogene Datengrundlagen mit eigene
